org_id	remap_id	freebase_id
0	0	null
1	1	null
2	2	null
3	3	null
4	4	null
5	5	null
6	6	null
7	7	null
8	8	null
9	9	null
10	10	null
13	11	null
14	12	null
16	13	null
17	14	null
19	15	null
20	16	null
21	17	null
22	18	null
23	19	null
24	20	null
25	21	null
26	22	null
27	23	null
28	24	null
29	25	null
30	26	null
31	27	null
32	28	null
33	29	null
34	30	null
35	31	null
36	32	null
38	33	null
39	34	null
40	35	null
41	36	null
44	37	null
45	38	null
46	39	null
47	40	null
48	41	null
49	42	null
50	43	null
51	44	null
52	45	null
53	46	null
54	47	null
55	48	null
56	49	null
57	50	null
58	51	null
59	52	null
60	53	null
61	54	null
62	55	null
63	56	null
64	57	null
65	58	null
66	59	null
67	60	null
68	61	null
69	62	null
70	63	null
71	64	null
72	65	null
73	66	null
75	67	null
76	68	null
77	69	null
78	70	null
79	71	null
80	72	null
81	73	null
82	74	null
83	75	null
84	76	null
85	77	null
86	78	null
87	79	null
88	80	null
89	81	null
90	82	null
91	83	null
92	84	null
93	85	null
94	86	null
95	87	null
96	88	null
97	89	null
98	90	null
99	91	null
100	92	null
101	93	null
102	94	null
103	95	null
104	96	null
105	97	null
106	98	null
107	99	null
108	100	null
109	101	null
110	102	null
111	103	null
112	104	null
113	105	null
115	106	null
116	107	null
117	108	null
118	109	null
119	110	null
120	111	null
121	112	null
122	113	null
123	114	null
124	115	null
125	116	null
126	117	null
127	118	null
128	119	null
129	120	null
130	121	null
131	122	null
132	123	null
133	124	null
134	125	null
135	126	null
136	127	null
137	128	null
139	129	null
140	130	null
141	131	null
142	132	null
143	133	null
144	134	null
145	135	null
146	136	null
147	137	null
148	138	null
149	139	null
150	140	null
151	141	null
152	142	null
153	143	null
154	144	null
155	145	null
156	146	null
158	147	null
159	148	null
160	149	null
161	150	null
162	151	null
163	152	null
164	153	null
165	154	null
166	155	null
167	156	null
168	157	null
169	158	null
170	159	null
171	160	null
172	161	null
173	162	null
174	163	null
175	164	null
176	165	null
177	166	null
178	167	null
180	168	null
181	169	null
182	170	null
184	171	null
185	172	null
186	173	null
187	174	null
188	175	null
189	176	null
190	177	null
192	178	null
193	179	null
194	180	null
195	181	null
196	182	null
197	183	null
198	184	null
199	185	null
200	186	null
201	187	null
202	188	null
203	189	null
204	190	null
206	191	null
207	192	null
208	193	null
211	194	null
212	195	null
213	196	null
214	197	null
216	198	null
217	199	null
218	200	null
219	201	null
220	202	null
221	203	null
222	204	null
223	205	null
224	206	null
225	207	null
226	208	null
227	209	null
228	210	null
229	211	null
230	212	null
231	213	null
232	214	null
233	215	null
234	216	null
236	217	null
238	218	null
239	219	null
242	220	null
243	221	null
244	222	null
245	223	null
246	224	null
248	225	null
249	226	null
250	227	null
251	228	null
252	229	null
254	230	null
257	231	null
258	232	null
259	233	null
260	234	null
261	235	null
262	236	null
263	237	null
265	238	null
266	239	null
268	240	null
269	241	null
271	242	null
272	243	null
273	244	null
274	245	null
275	246	null
276	247	null
277	248	null
280	249	null
281	250	null
284	251	null
285	252	null
288	253	null
290	254	null
291	255	null
297	256	null
299	257	null
300	258	null
301	259	null
302	260	null
303	261	null
304	262	null
305	263	null
306	264	null
308	265	null
309	266	null
310	267	null
311	268	null
312	269	null
313	270	null
314	271	null
315	272	null
318	273	null
319	274	null
320	275	null
322	276	null
323	277	null
324	278	null
325	279	null
326	280	null
329	281	null
330	282	null
331	283	null
333	284	null
334	285	null
339	286	null
348	287	null
349	288	null
350	289	null
351	290	null
352	291	null
353	292	null
354	293	null
355	294	null
356	295	null
357	296	null
359	297	null
360	298	null
361	299	null
362	300	null
363	301	null
364	302	null
365	303	null
366	304	null
367	305	null
368	306	null
369	307	null
370	308	null
371	309	null
372	310	null
373	311	null
374	312	null
375	313	null
376	314	null
377	315	null
378	316	null
379	317	null
380	318	null
381	319	null
382	320	null
383	321	null
384	322	null
385	323	null
386	324	null
387	325	null
388	326	null
389	327	null
390	328	null
391	329	null
392	330	null
393	331	null
394	332	null
395	333	null
396	334	null
397	335	null
398	336	null
399	337	null
400	338	null
402	339	null
403	340	null
404	341	null
405	342	null
406	343	null
407	344	null
408	345	null
409	346	null
410	347	null
411	348	null
412	349	null
413	350	null
414	351	null
415	352	null
416	353	null
417	354	null
418	355	null
419	356	null
420	357	null
421	358	null
422	359	null
423	360	null
424	361	null
425	362	null
426	363	null
427	364	null
428	365	null
429	366	null
430	367	null
431	368	null
432	369	null
433	370	null
434	371	null
435	372	null
436	373	null
437	374	null
438	375	null
439	376	null
440	377	null
441	378	null
442	379	null
443	380	null
444	381	null
445	382	null
446	383	null
448	384	null
449	385	null
450	386	null
451	387	null
452	388	null
453	389	null
454	390	null
455	391	null
456	392	null
457	393	null
458	394	null
